Section,Subsection,Question
Resident Directed Life & Routines,,Is a completed required Life Story Questionnaire collected for every resident prior to or at move-in?
Resident Directed Life & Routines,,Is a completed optional Life Story Questionnaire collected for every resident prior to, at move-in, or within the first week after move-in?
Resident Directed Life & Routines,,Are Life Story Questionnaire reviewed during the Daily Hi5 meetings for every resident prior to or at move-in?
Resident Directed Life & Routines,,Are Life Stories reviewed within the first two weeks of each new employee's hire?
Resident Directed Life & Routines,,"Does each department (nursing, dining, life enrichment/activities, leadership) use Life Story insights in daily routines and engagement?"
Resident Directed Life & Routines,,Does the Wellness Committee meet monthly and monitor the community's wellness culture?
Resident Directed Life & Routines,,Is Life Story information used to identify resident preferred activities when gathering and inviting residents to participate?
Resident Directed Life & Routines,,"Does the staff use Life Story cues to prompt meaningful conversations (i.e. past vocations, interests, etc.)?"
Resident Directed Life & Routines,,Are Life Stories and observation of residents' interests utilized when planning the Monthly Activity Calendar?
Resident Directed Life & Routines,,"Are residents' daily routines (wake times, bathing times, grooming preferences) honored consistently across all shifts?"
Resident Directed Life & Routines,,"Do staff offer choices daily, rather than assuming past preferences (i.e. morning beverage choice)?"
Resident Directed Life & Routines,,Do shift reports include updates on resident routines or changes noticed during care?
Resident Directed Life & Routines,,Are preferred routines documented in the ISPs/NSAs/Care Plans and communicated across departments?
Resident Directed Life & Routines,,"Does staff monitor and respond to changes in mood, hydration, consumption, socialization, sleep quality, alertness, or other wellness indicators?"
Resident Directed Life & Routines,,Are residents supported in maintaining meaningful morning and bedtime rituals and routines?
Resident Directed Life & Routines,,Are resident routines respected even during staff shortages?
Resident Directed Life & Routines,,Does the community offer a minimum of 2–3 planned activities per day (including weekends)?
Resident Directed Life & Routines,,Does the community offer at least one evening activity per week?
Resident Directed Life & Routines,,Does the community offer 1:1 activity for non-group participants at least weekly?
Resident Directed Life & Routines,,Does the community post the monthly calendar publicly by the 1st of every month?
Resident Directed Life & Routines,,Does the community monthly calendar reflect all 7 Dimensions of Wellness?
Resident Directed Life & Routines,,Does the community use local partnerships and volunteers?
Resident Directed Life & Routines,,"Do residents actively participate in physical wellness experiences such as balance classes, group exercise, or mind-body programs?"
Resident Directed Life & Routines,,"Are outdoor wellness experiences (nature outings, gardening, walking) accessible and encouraged?"
Resident Directed Life & Routines,,"Are spiritual wellness activities such as clergy visits, worship support, or singing groups routinely available?"
Resident Directed Life & Routines,,"Are emotional wellness supports available—gratitude practices, reminiscence, connection building?"
Resident Directed Life & Routines,,"Are intellectual wellness programs offered (brain health, current events, trivia, cultural programs)?"
Resident Directed Life & Routines,,"Are creative, artistic, and cultural programs offered (painting, drawing, storytelling, puzzles)?"
Resident Directed Life & Routines,,"Do residents have opportunities for vocational or purposeful activity (teaching, helping, mentoring, garden work)?"
Resident Directed Life & Routines,,"Are social wellness experiences—cards, entertainment, outings, celebrations—available and well-attended?"
Resident Directed Life & Routines,,"Do residents participate in multidimensional events (pet visits, shared meals, intergenerational activities)?"
Resident Directed Life & Routines,,Is participation in activities tracked and reviewed for trends or declines?
Resident Directed Life & Routines,,Is activity participation rates monitored and reviewed routinely and used to adjust programming or gathering techniques?
Resident Directed Life & Routines,,"Are resident food preferences and routines honored, as captured in Life Stories or Foor Preference Forms?"
Resident Directed Life & Routines,,"Does dining provide a calm, welcoming environment with warmth, respect, and social opportunity?"
Resident Directed Life & Routines,,Are culturally meaningful or comfort foods incorporated into menus when appropriate?
Resident Directed Life & Routines,,"Do staff consistently offer choice at each meal, supporting autonomy?"
Resident Directed Life & Routines,,Do residents have opportunities to sit in preferred areas or with preferred peers?
Resident Directed Life & Routines,,Are hydration routines supported throughout the day with beverages aligned to resident habits?
Resident Directed Life & Routines,,Does the community regularly schedule WOW Meals for its residents?
Resident Directed Life & Routines,,Does the community regularly coordinate Magic Moments for its residents?
Integration of 7 Dimensions of Wellness,Physical Wellness,Does the community offer a variety of physical wellness programs such as balance classes, group exercise, or strength training?
Integration of 7 Dimensions of Wellness,Physical Wellness,Are residents encouraged and supported in participating in outdoor activities such as walking or gardening?
Integration of 7 Dimensions of Wellness,Physical Wellness,"Does the community provide opportunities for mind-body physical practices such as yoga, tai chi, or meditation?"
Integration of 7 Dimensions of Wellness,Physical Wellness,Are physical wellness programs adapted to individual resident abilities and limitations?
Integration of 7 Dimensions of Wellness,Physical Wellness,"Does the environment support mobility with safe walking paths, accessible walkways, and adequate lighting?"
Integration of 7 Dimensions of Wellness,Physical Wellness,"Are physical health risk screenings (falls, cognition, diabetes, etc.) performed and used to guide individualized wellness plans?"
Integration of 7 Dimensions of Wellness,Emotional Wellness,"Are group emotional wellness activities offered, such as reminiscing, gratitude journaling, or connection-building groups?"
Integration of 7 Dimensions of Wellness,Emotional Wellness,Do residents have access to grief support or emotional support programs when needed?
Integration of 7 Dimensions of Wellness,Emotional Wellness,Are staff trained to recognize emotional distress and respond with supportive strategies?
Integration of 7 Dimensions of Wellness,Emotional Wellness,"Are private, calm environments available for residents needing emotional decompression?"
Integration of 7 Dimensions of Wellness,Emotional Wellness,Do staff use Life Story insights used to provide emotional reassurance or comfort?
Integration of 7 Dimensions of Wellness,Emotional Wellness,Do activities promote meaningful connection among residents to reduce loneliness?
Integration of 7 Dimensions of Wellness,Social Wellness,Are frequent social events offered that align with residents' interests?
Integration of 7 Dimensions of Wellness,Social Wellness,Does the community support resident-led groups or clubs to enhance social participation?
Integration of 7 Dimensions of Wellness,Social Wellness,Are new residents welcomed intentionally and paired with Resident Wellness Champions or peers?
Integration of 7 Dimensions of Wellness,Social Wellness,Are shared meals and social dining experiences encouraged to build community?
Integration of 7 Dimensions of Wellness,Social Wellness,Do staff intentionally facilitate social connection among residents who may be isolated?
Integration of 7 Dimensions of Wellness,Social Wellness,Are regular outings or intergenerational programs available to enhance social engagement?
Integration of 7 Dimensions of Wellness,Social Wellness,Are social participation trends monitored and used to adapt programs?
Integration of 7 Dimensions of Wellness,Intellectual Wellness,"Are cognitive stimulation programs offered such as brain games, trivia, storytelling, or current events discussions?"
Integration of 7 Dimensions of Wellness,Intellectual Wellness,Are activities matched to resident interests using Life Story insights?
Integration of 7 Dimensions of Wellness,Intellectual Wellness,Are small-group or 1:1 intellectual engagement opportunities offered for those unable to join large groups?
Integration of 7 Dimensions of Wellness,Intellectual Wellness,"Do residents have access to learning materials such as books, puzzles, or educational videos?"
Integration of 7 Dimensions of Wellness,Intellectual Wellness,"Are art, culture, or creativity-based programs offered regularly?"
Integration of 7 Dimensions of Wellness,Spiritual Wellness,"Are faith-based services, clergy visits, or devotionals available for residents who desire them?"
Integration of 7 Dimensions of Wellness,Spiritual Wellness,"Does the community provide meditation, reflection, or quiet spaces for spiritual support?"
Integration of 7 Dimensions of Wellness,Spiritual Wellness,Are Life Story spiritual and religious preferences honored during daily routines and holiday observances?
Integration of 7 Dimensions of Wellness,Spiritual Wellness,"Are music, rituals, or sensory tools used to support spiritual comfort (e.g., beads, candles, familiar hymns)?"
Integration of 7 Dimensions of Wellness,Spiritual Wellness,Are spiritual wellness programs accessible to residents across cognitive and physical abilities?
Integration of 7 Dimensions of Wellness,Spiritual Wellness,Are families engaged in supporting resident spiritual practices when desired?
Integration of 7 Dimensions of Wellness,Spiritual Wellness,Does the community partner with local spiritual leaders or organizations to expand offerings?
Integration of 7 Dimensions of Wellness,Vocational Wellness,Are residents given opportunities to contribute to the community through purposeful roles?
Integration of 7 Dimensions of Wellness,Vocational Wellness,Are prior vocations or talents identified through the Life Story and integrated into activities and resident conversations?
Integration of 7 Dimensions of Wellness,Vocational Wellness,Are resident helpers or volunteers encouraged to support community events or new residents?
Integration of 7 Dimensions of Wellness,Vocational Wellness,"Does the community highlight resident stories, achievements, or legacies (e.g., Resident Spotlights)?"
Integration of 7 Dimensions of Wellness,Vocational Wellness,Are vocational task stations available that reflect former occupations or hobbies?
Integration of 7 Dimensions of Wellness,Vocational Wellness,"Are residents supported in mentoring, teaching, or sharing knowledge with peers?"
